transaction_id,customer_id,transaction_date,amount,currency,transaction_type,channel,merchant_name,merchant_category,location_country,location_city,is_flagged
c03e5fe7-fc85-453b-9839-bcba259728e3,4aa0cbf9-ea8e-4dde-ab28-a916211813d9,2024-01-23 16:54:55,146.59,USD,withdrawal,in-branch,Amazon,Electronics,United States,New York,False
29dbf90e-4aa5-44ab-8084-519e6486b847,cbc93cb4-9375-4b77-94fe-3d6c9f4b7c74,2023-08-21 17:06:49,1290.48,EUR,withdrawal,in-branch,Walmart,Clothing,Germany,Munich,False
41c637d1-8e9c-42b7-a690-d809001d48e5,4044ca1d-073b-4c3c-ae59-5e9bfd2af868,2023-04-02 04:11:43,2524.22,INR,deposit,in-branch,Walmart,Retail,India,Hyderabad,False
08385cfc-6e94-46cc-9b2f-fef15adf1151,09f0af69-79e1-4a6a-9c18-66d44f07a506,2024-02-16 05:43:35,9964.3,USD,purchase,ATM,Amazon,Electronics,United States,Los Angeles,False
2476550a-b219-4e0c-967d-6ed58f2e5eb9,29e184b5-a25a-4939-9292-98213de6f4f8,2023-05-22 18:15:35,6183.43,EUR,deposit,ATM,Amazon,Grocery,Germany,Berlin,False
05b0b224-af2a-43a3-9077-a8652ca3dc69,49b29aaf-0a48-4bc2-9c0a-3ffd14782ea0,2023-06-03 22:59:31,2378.83,EUR,transfer,in-branch,Walmart,Electronics,Germany,Frankfurt,False
93966e70-7181-4e47-91df-76b0cb4ea044,0bc03c29-4eaa-4891-a1d0-baa8e3cbf764,2023-03-03 13:15:32,9791.15,EUR,purchase,in-branch,Amazon,Clothing,Germany,Berlin,False
23ed990e-be23-4505-b5ee-def095e32f68,f3aa60ef-2b31-401d-89a0-cdc25147e2b6,2024-01-28 00:03:38,5653.78,USD,purchase,mobile,Amazon,Clothing,United States,Chicago,False
c9f357fb-b7a8-4736-9ac8-0fe3a7752026,592691eb-2882-43c8-8385-c1b2d9101bd4,2023-06-14 13:11:51,9007.98,GBP,transfer,mobile,Target,Retail,United Kingdom,Birmingham,False
1cb46223-cf0a-45ba-af43-e5ad873a9626,640386f9-645c-4acd-96f9-3d5351359c9f,2023-03-14 07:19:40,2364.67,JPY,deposit,online,Amazon,Clothing,Japan,Osaka,False
f2d64668-a4d4-49be-8b82-053da2fbfd09,f978c535-209c-46e6-9336-828edec7271a,2023-07-22 12:39:24,1939.44,GBP,withdrawal,ATM,Walmart,Miscellaneous,United Kingdom,London,False
bbf757c6-7e93-4425-be38-9a8ad2698cc6,d8b116c9-4220-4714-89c8-d90b0b496906,2022-12-18 11:20:55,9505.21,JPY,withdrawal,in-branch,Amazon,Retail,Japan,Fukuoka,False
705f4667-29e8-4a01-ad2b-8cf68183211a,a4b0f0c7-2d14-453f-918e-cbe9bb7b7df0,2023-04-07 17:49:07,4404.71,INR,transfer,mobile,Amazon,Retail,India,Chennai,False
f9b1aaf2-6c8a-4eb3-9889-133511b0dc44,3e5db2ad-6571-483f-b339-3e3e6fb4d678,2022-10-24 18:24:14,4546.05,GBP,deposit,ATM,Target,Electronics,United Kingdom,Liverpool,False
1fab33ae-15ee-444a-8db5-aa04ce9aa418,6455fc5b-b94d-474c-929e-fb268424d87a,2024-06-09 05:20:57,1330.33,JPY,deposit,online,Amazon,Clothing,Japan,Tokyo,False
8156d000-eb20-4d5c-91ff-100a69c5be5c,db9892bb-2c06-490c-b813-0833124ede11,2023-11-14 15:05:45,4926.32,USD,transfer,mobile,Costco,Clothing,United States,Phoenix,False
282c3d55-cacc-4f27-8a46-a916b61bd7ba,060ae0a6-50fb-4179-9756-8e475fc4172f,2023-12-23 21:21:18,9793.35,EUR,deposit,ATM,Target,Retail,Germany,Frankfurt,False
063eb92d-4cb9-491f-b6a9-26b096ad1cb4,04ac51d8-a439-4ac5-8703-54421e1c6171,2024-05-22 12:34:19,224.35,JPY,deposit,ATM,Best Buy,Grocery,Japan,Fukuoka,False
3bf675dc-2655-4111-8f8a-d286c7119ed6,edaaa403-c5d5-477f-9ecd-a7862c758e81,2024-07-04 02:37:03,9517.45,USD,purchase,mobile,Best Buy,Retail,United States,Los Angeles,False
0e4ad8e4-bdb4-44fc-a365-47d766b97040,e10ad8bd-fc9d-4718-a63c-4ab002d45ce6,2024-02-04 19:55:11,4730.98,INR,transfer,in-branch,Best Buy,Electronics,India,Mumbai,False
4ed7187e-3f0f-4df1-ac44-33717780105a,f8888ff1-cdbc-43e5-8b30-c6f2d3867682,2024-03-05 07:32:27,5483.78,JPY,withdrawal,ATM,Best Buy,Electronics,Japan,Sapporo,False
52feb0a9-78fe-41a4-9017-bbc41044fadf,2683e776-5800-4172-b2dc-a87801343b57,2023-01-26 22:59:58,4042.21,EUR,withdrawal,ATM,Costco,Grocery,Germany,Hamburg,False
f348f519-117a-493a-ab71-9584bfce38fb,a2a97dc8-991b-474c-80ae-0258874e97a2,2023-02-02 01:40:28,7122.21,EUR,purchase,online,Amazon,Miscellaneous,Germany,Berlin,False
6bef3f52-3969-4596-ae84-ce7a5e1413fb,6514eab8-d43a-45c9-a15d-33dc8592c098,2024-01-31 14:58:29,5338.14,EUR,purchase,mobile,Costco,Retail,Germany,Berlin,False
71edcabe-5b32-450c-9fae-a42baa426d41,83483567-10f3-4a48-a478-2cf92a76e420,2024-06-17 09:51:27,5249.45,INR,deposit,mobile,Costco,Electronics,India,Hyderabad,False
114fadcd-9064-4786-9a7e-9e91a31fe903,4acb1003-cdca-4333-84a5-f119057d809a,2024-05-29 23:33:04,6389.07,GBP,withdrawal,in-branch,Costco,Retail,United Kingdom,Manchester,False
786ed8ab-598e-41e5-bebd-23f134adf824,bd21772b-c71d-42ff-8c60-7e7069376578,2023-01-08 01:57:58,6039.41,INR,transfer,mobile,Amazon,Electronics,India,Bangalore,False
ea31680c-53de-42c3-9d53-b31ce1743fa0,2087c431-2bb2-4722-becd-e66fc62b7a79,2023-10-10 14:12:02,3666.97,JPY,withdrawal,ATM,Best Buy,Clothing,Japan,Sapporo,False
bd63bf31-d27d-4c6a-bc97-d890f5914a75,24dcabec-e7a8-4f68-9d7f-e6d1ad102699,2023-01-04 10:58:08,7771.92,INR,deposit,online,Costco,Miscellaneous,India,Delhi,False
d7a1ce92-e538-41b2-8ebb-c576da1b7333,ffe031e0-bccb-4361-8a87-eb60c646022d,2023-04-12 13:52:31,6028.39,JPY,deposit,online,Costco,Electronics,Japan,Osaka,False
3b21b512-3b70-42de-8b7b-754e0b683335,c353c124-c774-4ff9-bff2-a7444f153685,2023-07-21 16:51:58,7976.78,INR,deposit,ATM,Target,Electronics,India,Mumbai,False
939d6dee-6b8c-4eb5-b95f-2d89b94d7c9b,c353c124-c774-4ff9-bff2-a7444f153685,2024-05-16 00:32:01,742.3,INR,purchase,mobile,Best Buy,Clothing,India,Bangalore,False
ccef0258-c272-4599-898e-f60115f630c8,f7d1a006-f824-453c-a59b-f58d4c0541d0,2023-04-28 15:21:03,2589.05,USD,transfer,in-branch,Costco,Grocery,United States,Chicago,False
8cd36738-c5cb-4c9d-b9ae-fdcbe6c2ae30,d53e186b-ef02-43c2-9ac8-079b987eec62,2023-05-26 00:32:58,5091.96,INR,deposit,in-branch,Costco,Clothing,India,Bangalore,False
8034ff96-4842-47c0-a3d7-8216f4c2d20a,d6b0dd96-2b86-46fe-be95-1ae30ea2c2b0,2024-05-12 01:29:44,9454.44,JPY,deposit,in-branch,Costco,Electronics,Japan,Tokyo,False
6fcb2224-31cb-4eb8-966e-ea45e997a70b,86e1dfac-23f0-40b7-b394-229246f12de2,2024-06-24 07:49:57,2246.64,JPY,withdrawal,in-branch,Best Buy,Miscellaneous,Japan,Fukuoka,False
